PLANIFICACIÓN;Horas_Patron;FAMILIA;TAMAÃ‘O
INSTALACION DE SUELO;13.0;PM;20' - 45'
PANELADO;90.0;PM;20' - 45'
MODIFICACIONES EN PANEL;;PM;20' - 45'
R-QP05-12 Pre-Installation of doors;1.0;PM;20' - 45'
INSTALACION  DE PUERTAS;18.0;PM;20' - 45'
INSTALACION ROXTEC;25.0;PM;20' - 45'
INSTALACION DE ELEMENTOS Y/O EQUIPOS;15.0;PM;20' - 45'
CERRAMIENTO DE ALUMINIO;24.0;PM;20' - 45'
PERFILERIA EXTERIOR;9.0;PM;20' - 45'
R-QP05-28 Prefabricated Module Roof Inspection;1.0;PM;20' - 45'
CORTE Y/O PREPARACION DE CABLE;80.0;PM;20' - 45'
MECANIZADO DE ELEMENTOS DE INSTALACION ELECTRICA;8.0;PM;20' - 45'
SISTEMA DE TIERRAS;31.0;PM;20' - 45'
SISTEMA DE ILUMINACION/EMERGENCIAS;35.0;PM;20' - 45'
CABLEADO Y CONEXIONADO POTENCIA;;PM;20' - 45'
INSTALACION DE CABLE;155.0;PM;20' - 45'
CONEXIONADO DE EQUIPOS;461.0;PM;20' - 45'
ETIQUETADO DE CABLE Y EQUIPOS;11.0;PM;20' - 45'
INSTALACION DE MEDIA TENSION;;PM;20' - 45'
TRANSFORMADOR;2.0;PM;20' - 45'
TRABAJOS DE MEDIA TENSION;0.0;PM;20' - 45'
TRABAJOS DE BT EN MT;1.0;PM;20' - 45'
PRUEBAS DE MEDIA TENSION;0.0;PM;20' - 45'
SISTEMA DE MONITORIZACION;;PM;20' - 45'
MONTAJE DE EQUIPOS DE MONITORIZACION;12.0;PM;20' - 45'
INSTALACION DE SENALES;25.0;PM;20' - 45'
INSTALACION DE UTP;5.0;PM;20' - 45'
R-QP05-16 Acceptance of Installations. Monitoring;1.0;PM;20' - 45'
CONTROL DE ACCESO;8.0;PM;20' - 45'
PRUEBAS ELECTRICAS PRODUCCION;;PM;20' - 45'
RECOLECCION DE NUMEROS DE SERIE;;PM;20' - 45'
PRUEBAS ELECTRICAS SIN TENSION;36.0;PM;20' - 45'
TORQUEO;46.0;PM;20' - 45'
R-QP05-11 Acceptance of Installations. Electrical;3.0;PM;20' - 45'
R-QP05-40 Acceptance of Torque;3.0;PM;20' - 45'
R-QP07-08 BCF Factory Power Energization Authorization;3.0;PM;20' - 45'
PRUEBAS ELECTRICAS CON TENSION ;6.0;PM;20' - 45'
SOPORTE A COMMISSIONING;20.0;PM;20' - 45'
TRABAJOS DE INSTALACION PCI;23.0;PM;20' - 45'
REALIZACION DE PRUEBAS PCI;8.0;PM;20' - 45'
R-QP05-27 Door Fan Test;1.0;PM;20' - 45'
R-QP05-04 Acceptance of Installations. FSS;1.0;PM;20' - 45'
R-QP05-18 Acceptance of Installations. Assembly;3.0;PM;20' - 45'
MONTAJE DE TUBERIAS;30.0;PM;20' - 45'
TRABAJOS DE CONEXIONADO Y VALVULERIA;11.0;PM;20' - 45'
TRABAJOS DE FORRADO DE TUBERIAS;10.0;PM;20' - 45'
REALIZACION DE PRUEBAS COOLING;1.0;PM;20' - 45'
R-QP05-05 Acceptance of Installations. Cooling;1.0;PM;20' - 45'
TRASLADO Y UBICACION EN ZONA CX;8.0;PM;20' - 45'
TESTEO Cx;45.0;PM;20' - 45'
UPS START UP;;PM;20' - 45'
FAT/FOK/Witness test;;PM;20' - 45'
TRASLADO Y UBICACION EN ZONA PRODUCCION.;8.0;PM;20' - 45'
MODIFICACIONES FAT/FOK/WITNESS TEST ;30.0;PM;20' - 45'
R-QP05-03 QC 100% MDC;1.0;PM;20' - 45'
DESENSAMBLAJE INSTALACION ELECTRICA;0.0;PM;20' - 45'
DESENSAMBLAJE INSTALACION MECANICA;0.0;PM;20' - 45'
LIMPIEZA FINAL CUADROS;9.0;PM;20' - 45'
R-QP05-29 Outgoing electrical panel visual inspection;2.0;PM;20' - 45'
CIERRE DE CUADROS Y PENDIENTES ELECTRICOS;21.0;PM;20' - 45'
CIERRE DE CUADROS Y PENDIENTES MECANICOS;12.0;PM;20' - 45'
LIMPIEZA FINAL;55.0;PM;20' - 45'
REPASOS DE PINTURA;10.0;PM;20' - 45'
R-QP05-02 Pre Shipment Inspection MDC;2.0;PM;20' - 45'
R-QP05-24 Authorization for the release of the solutions;1.0;PM;20' - 45'
EMBALAJE;16.0;PM;20' - 45'
TRABAJOS PREVIOS MECANICOS;10.0;PM;50' - 56'
CORTE Y ENSAMBLAJE DE CARRILES Y BANDEJAS;76.0;PM;50' - 56'
NIVELACION;10.0;PM;50' - 56'
INSTALACION CARRILES DE SOPORTACION;168.0;PM;50' - 56'
INSTALACION DE BANDEJAS;136.0;PM;50' - 56'
MECANIZADO DE ELEMENTOS DE INSTALACION MECANICA;30.0;PM;50' - 56'
EQUIPOS;;PM;50' - 56'
INTRODUCCION/FIJACION de EQUIPOS;267.0;PM;50' - 56'
ENSAMBLAJE DE CUADROS CUADRISTA;42.0;PM;50' - 56'
ENSAMBLAJE DE EQUIPOS (CUADRO PRINCIPAL Y UPS);19.0;PM;50' - 56'
CADENAS PORTACABLES;8.0;PM;50' - 56'
INSTALACION DE SUELO;60.0;PM;50' - 56'
PANELADO;108.0;PM;50' - 56'
MODIFICACIONES EN PANEL;;PM;50' - 56'
R-QP05-12 Pre-Installation of doors;1.0;PM;50' - 56'
INSTALACION  DE PUERTAS;18.0;PM;50' - 56'
INSTALACION ROXTEC;39.0;PM;50' - 56'
INSTALACION DE ELEMENTOS Y/O EQUIPOS;114.0;PM;50' - 56'
CERRAMIENTO DE ALUMINIO;68.0;PM;50' - 56'
PERFILERIA EXTERIOR;88.0;PM;50' - 56'
R-QP05-28 Prefabricated Module Roof Inspection;1.0;PM;50' - 56'
CORTE Y/O PREPARACION DE CABLE;18.0;PM;50' - 56'
MECANIZADO DE ELEMENTOS DE INSTALACION ELECTRICA;22.0;PM;50' - 56'
SISTEMA DE TIERRAS;41.0;PM;50' - 56'
SISTEMA DE ILUMINACION/EMERGENCIAS;23.0;PM;50' - 56'
CABLEADO Y CONEXIONADO POTENCIA;;PM;50' - 56'
INSTALACION DE CABLE;567.0;PM;50' - 56'
CONEXIONADO DE EQUIPOS;257.0;PM;50' - 56'
ETIQUETADO DE CABLE Y EQUIPOS;23.0;PM;50' - 56'
